iso3,country_name,capital,lat,lon,comtrade_num
NOR,Norway,Oslo,59.9614513,10.9250145,578
HRV,Croatia,Zagreb,45.7767632,15.9686469,191
ITA,Italy,Rome,48.8823012,2.3213298,380
MKD,North Macedonia,Skopje,41.9854121,21.4204327,807
SRB,Serbia,Belgrade,44.8073717,20.4196596,688
DEU,Germany,Berlin,48.8796039,2.3270446,276
IRL,Ireland,Dublin,48.8807069,2.3247427,372
GBR,United Kingdom,London,51.5022348,-0.1779189,826
MDA,Moldova,Chișinău,47.0263187,28.8292483,498
GRC,Greece,Athens,37.9813032,23.7306932,300
TUR,Turkiye,Ankara,39.9334,32.8597,792
ROU,Romania,Bucharest,44.4513278,26.0874454,642
EST,Estonia,Tallinn,59.437,24.7536,233
CHE,Switzerland,Bern,47.1260185,7.2400325,756
LVA,Latvia,Riga,56.9581622,24.1155884,428
SWE,Sweden,Stockholm,48.8771101,2.3224529,752
FRO,Faroe Islands,Torshavn,62.0107,-6.7741,234
SVK,Slovak Republic,Bratislava,48.1642344,17.1768887,703
SVN,Slovenia,Ljubljana,46.0580532,14.5054395,705
GIB,Gibraltar,Gibraltar,36.1113418,-5.3482947,292
RUS,Russian Federation,Moscow,55.7931271,37.5953235,643
BLR,Belarus,Minsk,53.8627662,27.5371446,112
MNE,Montenegro,Podgorica,42.4304,19.2594,499
LIE,Liechtenstein,Vaduz,47.1415,9.5215,438
ISL,Iceland,Reykjavik,64.1355,-21.8954,352
UKR,Ukraine,Kyiv,50.4522239,30.5275356,804
SMR,San Marino,City of San Marino,43.9361,12.4463,674
GRL,Greenland,Nuuk,64.1835,-51.7216,304
NLD,Netherlands,Amsterdam,52.3417979,4.823375,528
AND,Andorra,Andorra la Vella,42.5088603,1.5312273,20
HUN,Hungary,Budapest,48.8768949,2.3268456,348
BEL,Belgium,Brussels,50.8941641,4.3387436,56
MCO,Monaco,Monaco,43.7402678,7.4242027,492
BIH,Bosnia and Herzegovina,Sarajevo,43.858558,18.4272868,70
BGR,Bulgaria,Sofia,42.6722926,23.3968209,100
FRA,France,Paris,48.8787706,2.3222823,250
LUX,Luxembourg,Luxembourg,47.4243749,0.6973906,442
XKX,Kosovo,Pristina,42.6629,21.1655,926
ESP,Spain,Madrid,48.8787706,2.3222823,724
AUT,Austria,Vienna,48.1653464,16.3783364,40
CZE,Czechia,Prague,48.5174886,-2.7433071,203
FIN,Finland,Helsinki,60.2818197,25.0199483,246
POL,Poland,Warsaw,52.2326326,20.9842593,616
PRT,Portugal,Lisbon,38.7076287,-9.1655069,620
CHI,Channel Islands,Saint Helier,49.188,-2.101,831
IMN,Isle of Man,Douglas,54.1524,-4.4861,833
LTU,Lithuania,Vilnius,54.6738699,25.2678829,440
ALB,Albania,Tirana,41.3301903,19.8321111,8
DNK,Denmark,Copenhagen,55.67613,12.56571,208
CYP,Cyprus,Nicosia,35.1573462,33.3940059,196
